"name","alt_names_json","operator","country","launch_date","decommission_date","status","orbit_type","altitude_km","inclination_deg","period_min","mass_kg","tir_sensors_json","all_sensors_json","sources_json","notes"
"ADEOS","[]","","","","","unknown","","","","","","[""ILAS-I"", ""IMG"", ""OCTS""]","[]","[]",""
"ADEOS-2","[]","","","","","unknown","","","","","","[""GLI"", ""ILAS-II""]","[]","[]",""
"ALOS-2","[]","","","","","historical","","","","","","[""CIRC""]","[]","[]",""
"Aqua","[""EOS-PM-1""]","NASA","USA","2002-05-04","","operational","SSO","705","98.2","99.0","2934","[""AIRS"", ""CERES"", ""MODIS""]","[""MODIS"", ""AIRS"", ""CERES"", ""AMSR-E"", ""HSB"", ""AMSU-A""]","[""https://space.skyrocket.de/doc_sdat/aqua.htm""]",""
"Arctica-M N1","[]","","","","","operational","","","","","","[""MSU-GS/A""]","[]","[]",""
"Arctica-M N2","[]","","","","","operational","","","","","","[""MSU-GS/A""]","[]","[]",""
"Arctica-M N3","[]","","","","","operational","","","","","","[""MSU-GS/A""]","[]","[]",""
"Arctica-M N4","[]","","","","","planned","","","","","","[""MSU-GS/A""]","[]","[]",""
"ATS-6","[]","","","","","unknown","","","","","","[""VHRR""]","[]","[]",""
"Aura","[""EOS-Chem-1""]","NASA","USA","2004-07-15","","operational","SSO","705","98.2","99.0","2967","[""HIRDLS"", ""TES-limb"", ""TES-nadir""]","[""MLS"", ""OMI"", ""HIRDLS"", ""TES""]","[""https://space.skyrocket.de/doc_sdat/aura.htm""]",""
"Blue Moon (SuperSharp)","[]","","","","","operational","","","","","","[""SuperSharp""]","[]","[]",""
"CALIPSO","[]","","","","","unknown","","","","","","[""IIR""]","[]","[]",""
"CBERS-2","[]","","","","","historical","","","","","","[""IRMSS""]","[]","[]",""
"CBERS-4","[]","","","","","historical","","","","","","[""IRMSS-2""]","[]","[]",""
"CBERS-4B","[]","","","","","historical","","","","","","[""IRMSS-2""]","[]","[]",""
"Clarity-1 (Albedo)","[]","","","","","operational","","","","","","[""Clarity""]","[]","[]",""
"CLARREO-1A","[]","","","","","unknown","","","","","","[""IR spectrometer""]","[]","[]",""
"CLARREO-2A","[]","","","","","unknown","","","","","","[""IR spectrometer""]","[]","[]",""
"COMS","[]","","","","","unknown","","","","","","[""MI""]","[]","[]",""
"DMSP-F01","[]","","","","","unknown","","","","","","[""SSH""]","[]","[]",""
"DMSP-F02","[]","","","","","unknown","","","","","","[""SSH""]","[]","[]",""
"DMSP-F03","[]","","","","","unknown","","","","","","[""SSH""]","[]","[]",""
"DMSP-F04","[]","","","","","unknown","","","","","","[""SSH""]","[]","[]",""
